timestamp,startfloor,endfloor
2002-12-30T00:01:00.000694,3,5
2002-12-30T00:01:11.000822,1,7
2002-12-30T00:01:58.001366,7,7
2002-12-30T00:02:21.001632,6,4
2002-12-30T00:02:51.001979,5,4
2002-12-30T00:03:35.002488,3,3
2002-12-30T00:03:53.002697,6,5
2002-12-30T00:04:33.003160,6,2
2002-12-30T00:05:23.003738,7,1
2002-12-30T00:10:16.007130,1,0
2002-12-30T00:10:39.007396,3,3
2002-12-30T00:10:55.007581,2,0
2002-12-30T00:12:33.008715,4,8
2002-12-30T00:12:39.008785,7,6
2002-12-30T00:13:47.009572,4,0
2002-12-30T00:14:26.010023,7,3
2002-12-30T00:15:13.010567,3,4
2002-12-30T00:15:59.011100,3,4
2002-12-30T00:16:20.011343,7,4
2002-12-30T00:16:38.011551,5,2
2002-12-30T00:16:47.011655,8,2
2002-12-30T00:17:28.012130,5,0
2002-12-30T00:18:37.012928,5,2
2002-12-30T00:23:09.016077,6,5
2002-12-30T00:23:40.016435,5,8
2002-12-30T00:25:56.018009,5,3
2002-12-30T00:27:52.019352,3,1
2002-12-30T00:29:15.020313,3,1
2002-12-30T00:31:49.022095,7,8
2002-12-30T00:35:00.024306,1,4
2002-12-30T00:35:35.024711,8,0
2002-12-30T00:36:44.025510,5,7
2002-12-30T00:37:46.026227,4,4
2002-12-30T00:39:00.027084,5,4
2002-12-30T00:39:02.027107,8,3
2002-12-30T00:40:31.028137,7,3
2002-12-30T00:42:31.029526,8,4
2002-12-30T00:42:58.029838,6,3
2002-12-30T00:44:22.030811,5,0
2002-12-30T00:45:01.031262,6,6
2002-12-30T00:45:22.031505,7,4
2002-12-30T00:45:37.031679,2,3
2002-12-30T00:47:58.033311,7,3
2002-12-30T00:49:31.034387,6,4
2002-12-30T00:50:31.035081,8,8
2002-12-30T00:51:57.036077,3,2
2002-12-30T00:52:39.036563,7,1
2002-12-30T00:52:58.036783,1,2
2002-12-30T00:54:08.037593,1,5
2002-12-30T00:56:53.039503,3,0
2002-12-30T00:57:09.039688,7,4
2002-12-30T00:57:13.039734,4,8
2002-12-30T00:58:28.040602,3,3
2002-12-30T00:59:17.041169,1,3
2002-12-30T00:59:21.041216,2,0
2002-12-30T00:59:56.041621,4,8
2002-12-30T01:00:26.041968,5,0
2002-12-30T01:01:20.042593,8,8
2002-12-30T01:03:00.043751,6,3
2002-12-30T01:04:01.044457,1,5
2002-12-30T01:08:40.047686,5,6
2002-12-30T01:11:08.049399,8,5
2002-12-30T01:13:10.050811,4,7
2002-12-30T01:13:24.050973,7,7
2002-12-30T01:14:18.051598,2,3
2002-12-30T01:21:00.056251,5,5
2002-12-30T01:21:22.056505,2,5
2002-12-30T01:21:43.056748,6,5
2002-12-30T01:22:01.056957,4,8
2002-12-30T01:22:25.057234,3,3
2002-12-30T01:23:14.057802,4,2
2002-12-30T01:23:36.058056,8,1
2002-12-30T01:24:45.058855,5,2
2002-12-30T01:25:21.059272,7,5
2002-12-30T01:25:58.059700,2,2
2002-12-30T01:26:32.060093,6,2
2002-12-30T01:28:40.061575,1,1
2002-12-30T01:30:11.062628,2,7
2002-12-30T01:31:03.063230,4,1
2002-12-30T01:32:24.064167,6,5
2002-12-30T01:33:24.064862,5,3
2002-12-30T01:33:30.064931,2,3
2002-12-30T01:33:44.065093,7,1
2002-12-30T01:33:54.065209,6,2
2002-12-30T01:38:49.068623,8,2
2002-12-30T01:38:57.068716,2,6
2002-12-30T01:39:44.069260,1,4
2002-12-30T01:42:26.071135,8,4
2002-12-30T01:44:03.072258,5,3
2002-12-30T01:45:59.073600,0,8
2002-12-30T01:46:18.073820,1,0
2002-12-30T01:46:54.074237,7,0
2002-12-30T01:47:17.074503,1,2
2002-12-30T01:47:25.074596,1,7
2002-12-30T01:48:25.075290,1,2
2002-12-30T01:50:34.076783,2,2
2002-12-30T01:50:52.076992,4,4
2002-12-30T01:51:10.077200,6,8
2002-12-30T01:51:14.077246,3,5
2002-12-30T01:52:29.078114,8,6
2002-12-30T01:52:58.078450,4,6
2002-12-30T01:53:12.078612,3,6
2002-12-30T01:53:15.078647,2,1
2002-12-30T01:54:36.079584,3,7
2002-12-30T01:56:12.080695,8,4
2002-12-30T01:56:28.080881,1,1
2002-12-30T01:59:02.082663,4,4
2002-12-30T02:00:49.083901,4,0
2002-12-30T02:00:49.083901,2,1
2002-12-30T02:00:59.084017,3,2
2002-12-30T02:01:30.084376,8,0
2002-12-30T02:02:06.084793,2,2
2002-12-30T02:02:47.085267,5,5
2002-12-30T02:02:49.085290,7,2
2002-12-30T02:05:04.086853,5,6
2002-12-30T02:06:46.088033,1,4
2002-12-30T02:08:13.089040,5,8
2002-12-30T02:13:09.092466,0,3
2002-12-30T02:13:46.092895,3,1
2002-12-30T02:15:07.093832,5,8
2002-12-30T02:16:50.095024,2,3
2002-12-30T02:18:28.096159,6,8
2002-12-30T02:18:36.096251,5,0
2002-12-30T02:19:37.096957,6,3
2002-12-30T02:19:38.096969,1,6
2002-12-30T02:24:32.100372,2,7
2002-12-30T02:25:40.101159,1,5
2002-12-30T02:27:18.102293,2,7
2002-12-30T02:27:38.102524,2,8
2002-12-30T02:30:48.104723,4,7
2002-12-30T02:33:18.106460,2,1
2002-12-30T02:34:08.107038,7,1
2002-12-30T02:34:33.107328,6,4
2002-12-30T02:35:38.108080,7,0
2002-12-30T02:36:52.108936,3,6
2002-12-30T02:37:27.109342,5,8
2002-12-30T02:37:30.109376,4,4
2002-12-30T02:38:02.109747,4,0
2002-12-30T02:39:20.110649,3,5
2002-12-30T02:39:37.110846,8,2
2002-12-30T02:41:10.111923,2,6
2002-12-30T02:41:46.112339,2,6
2002-12-30T02:43:33.113578,6,7
2002-12-30T02:44:58.114562,2,6
2002-12-30T02:46:47.115823,3,7
2002-12-30T02:48:01.116680,3,4
2002-12-30T02:48:59.117351,6,8
2002-12-30T02:50:50.118636,5,5
2002-12-30T02:51:07.118832,8,4
2002-12-30T02:53:00.120140,8,1
2002-12-30T02:56:48.122779,8,2
2002-12-30T02:58:31.123971,2,0
2002-12-30T02:59:49.124874,3,2
2002-12-30T03:03:34.127478,8,4
2002-12-30T03:10:23.132212,3,1
2002-12-30T03:11:55.133277,4,2
2002-12-30T03:14:32.135094,3,6
2002-12-30T03:15:59.136101,1,6
2002-12-30T03:17:31.137166,7,3
2002-12-30T03:18:09.137606,1,8
2002-12-30T03:19:56.138844,7,8
2002-12-30T03:19:58.138867,6,6
2002-12-30T03:21:08.139678,1,1
2002-12-30T03:21:15.139759,8,2
2002-12-30T03:21:24.139863,8,0
2002-12-30T03:21:47.140129,8,8
2002-12-30T03:22:43.140777,8,8
2002-12-30T03:22:58.140951,7,4
2002-12-30T03:24:06.141738,3,4
2002-12-30T03:25:35.142768,6,5
2002-12-30T03:25:42.142849,7,2
2002-12-30T03:26:21.143300,1,0
2002-12-30T03:31:07.146610,4,8
2002-12-30T03:35:03.149342,8,0
2002-12-30T03:37:25.150986,8,7
2002-12-30T03:37:54.151321,4,0
2002-12-30T03:37:55.151333,6,1
2002-12-30T03:38:54.152016,6,0
2002-12-30T03:42:16.154354,0,0
2002-12-30T03:43:53.155476,7,6
2002-12-30T03:44:43.156055,0,1
2002-12-30T03:49:06.159099,5,6
2002-12-30T03:53:44.162317,1,6
2002-12-30T03:53:58.162479,7,8
2002-12-30T03:54:31.162861,8,8
2002-12-30T03:56:02.163914,3,1
2002-12-30T03:57:01.164597,4,3
2002-12-30T03:58:23.165546,0,3
2002-12-30T03:58:53.165893,1,5
2002-12-30T03:59:48.166530,2,3
2002-12-30T04:00:55.167305,5,0
2002-12-30T04:01:37.167791,5,6
2002-12-30T04:03:54.169377,6,8
2002-12-30T04:05:23.170407,2,8
2002-12-30T04:08:47.172768,1,1
2002-12-30T04:10:07.173694,5,1
2002-12-30T04:17:38.178914,0,1
2002-12-30T04:18:12.179308,5,4
2002-12-30T04:21:06.181322,8,8
2002-12-30T04:21:48.181808,1,0
2002-12-30T04:23:29.182977,2,1
2002-12-30T04:23:54.183266,3,6
2002-12-30T04:24:43.183833,5,5
2002-12-30T04:26:51.185315,2,3
2002-12-30T04:29:59.187491,0,8
2002-12-30T04:41:57.195801,7,6
2002-12-30T04:42:28.196160,3,5
2002-12-30T04:47:54.199933,3,8
2002-12-30T04:51:29.202421,4,3
2002-12-30T04:52:03.202815,4,1
2002-12-30T04:52:17.202977,4,6
2002-12-30T04:52:33.203162,1,8
2002-12-30T04:54:47.204713,4,2
2002-12-30T05:01:40.209493,8,2
